200 species,100 species,50 species
Ralstonia solanacearum (taxid 305),Buchnera aphidicola (taxid 9),Sphingomonas sp. CL5.1 (taxid 2653203)
Dorea formicigenerans (taxid 39486),Dorea formicigenerans (taxid 39486),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Atopobium sp. oral taxon 416 (taxid 712157),Atopobium sp. oral taxon 416 (taxid 712157),Microlunatus elymi (taxid 2596828)
Ligilactobacillus salivarius (taxid 1624),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Candidatus Chlorohelix allophototropha (taxid 3003348),Terrabacteria group (taxid 1783272),Clostridium beijerinckii (taxid 1520)
Microbulbifer elongatus (taxid 86173),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Humisphaera borealis (taxid 2807512),Humisphaera borealis (taxid 2807512),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Stenotrophomonas maltophilia (taxid 40324),Stenotrophomonas maltophilia group (taxid 995085),Stenotrophomonas maltophilia group (taxid 995085)
Segatella hominis (taxid 2518605),Clostridium chauvoei (taxid 46867),Enterococcus faecium (taxid 1352)
Anaeromicropila herbilytica (taxid 2785025),Anaeromicropila herbilytica (taxid 2785025),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Staphylococcus aureus (taxid 1280),Staphylococcus simulans (taxid 1286),Bacillus velezensis NAU-B3 (taxid 1385727)
Butyrivibrio crossotus (taxid 45851),Butyrivibrio crossotus (taxid 45851),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Jeotgalicoccus sp. ATCC 8456 (taxid 946435),Jeotgalicoccus sp. ATCC 8456 (taxid 946435),Bacillus velezensis NAU-B3 (taxid 1385727)
Terrisporobacter petrolearius (taxid 1460447),Terrisporobacter petrolearius (taxid 1460447),Crassaminicella indica (taxid 2855394)
Enterobacter cloacae subsp. cloacae (taxid 336306),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Catenibacterium sp. co_0103 (taxid 2478954),Catenibacterium sp. co_0103 (taxid 2478954),Crassaminicella indica (taxid 2855394)
Enterobacter sp. T2 (taxid 2707174),Enterobacter sp. T2 (taxid 2707174),Escherichia coli (taxid 562)
Spirosoma taeanense (taxid 2735870),Coprobacter fastidiosus (taxid 1099853),Chryseobacterium group (taxid 2782232)
Spirosoma endbachense (taxid 2666025),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Faecalibacterium taiwanense (taxid 3030638),Faecalibacterium prausnitzii (taxid 853),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Roseburia sp. 499 (taxid 1261634),Enterocloster bolteae (taxid 208479),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Enterobacter roggenkampii (taxid 1812935),Klebsiella quasipneumoniae (taxid 1463165),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Vibrio cholerae (taxid 666),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Simiaoa sunii (taxid 2763672),Anaeromicropila herbilytica (taxid 2785025),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Rhodococcus opacus (taxid 37919),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Morganella morganii (taxid 582),Salmonella bongori CFSAN000510 (taxid 1299282),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Mycolicibacterium holsaticum DSM 44478 = JCM 12374 (taxid 1226752),Mycolicibacterium holsaticum DSM 44478 = JCM 12374 (taxid 1226752),Microlunatus elymi (taxid 2596828)
Phocaeicola salanitronis DSM 18170 (taxid 667015),Phocaeicola salanitronis DSM 18170 (taxid 667015),Aquipluma nitroreducens (taxid 2010828)
Gemmatirosa kalamazoonensis (taxid 861299),Gemmatirosa kalamazoonensis (taxid 861299),Sphingomonas hengshuiensis (taxid 1609977)
Paenibacillus sp. PL2-23 (taxid 2100729),Staphylococcus epidermidis (taxid 1282),Bacillus velezensis NAU-B3 (taxid 1385727)
Svornostia abyssi (taxid 2898438),Conexibacter sp. S30A1 (taxid 2937800),Microlunatus elymi (taxid 2596828)
Paenibacillus protaetiae (taxid 2509456),Paenibacillus protaetiae (taxid 2509456),Bacillus velezensis NAU-B3 (taxid 1385727)
Brevundimonas sp. M20 (taxid 2591463),Brevundimonas sp. M20 (taxid 2591463),Brucella intermedia (taxid 94625)
Roseimicrobium sp. ORNL1 (taxid 2711231),Luteolibacter sp. Populi (taxid 3230487),Aeoliella mucimassa (taxid 2527972)
Intestinibacter bartlettii (taxid 261299),Intestinibacter bartlettii (taxid 261299),Enterococcus faecium (taxid 1352)
Gemmata obscuriglobus (taxid 114),Limnoglobus roseus (taxid 2598579),Brucella intermedia (taxid 94625)
Duodenibacillus massiliensis (taxid 1852381),Cupriavidus malaysiensis (taxid 367825),Alcaligenes nematophilus (taxid 2994643)
Brevundimonas olei (taxid 657642),Brevundimonas naejangsanensis (taxid 588932),Brucella intermedia (taxid 94625)
Clostridium chauvoei (taxid 46867),Clostridium cadaveris (taxid 1529),Enterococcus faecium (taxid 1352)
Sodalis ligni (taxid 2697027),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Thiobacillus sp. (taxid 924),Thiobacillus sp. (taxid 924),Sulfuriferula plumbiphila (taxid 171865)
Faecalibacillus intestinalis (taxid 1982626),Faecalibacillus intestinalis (taxid 1982626),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Ornithinibacillus sp. FSL M8-0202 (taxid 2921616),Ornithinibacillus sp. FSL M8-0202 (taxid 2921616),Bacillus velezensis NAU-B3 (taxid 1385727)
Staphylococcus warneri (taxid 1292),Acidaminococcus intestini (taxid 187327),Staphylococcus warneri (taxid 1292)
Rothia mucilaginosa (taxid 43675),Georgenia faecalis (taxid 2483799),Microlunatus elymi (taxid 2596828)
Microlunatus sagamiharensis (taxid 546874),Brooklawnia propionicigenes (taxid 3041175),Microlunatus elymi (taxid 2596828)
Intestinibacillus sp. NTUH-41-i26 (taxid 3079303),Intestinibacillus sp. NTUH-41-i26 (taxid 3079303),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Anaerotignum propionicum DSM 1682 (taxid 991789),Stomatobaculum sp. F0698 (taxid 3059030),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Solibaculum mannosilyticum (taxid 2780922),Solibaculum mannosilyticum (taxid 2780922),Enterococcus faecium (taxid 1352)
Gardnerella swidsinskii (taxid 2792979),Gardnerella swidsinskii (taxid 2792979),Corynebacterium cystitidis (taxid 35757)
Lachnospira eligens (taxid 39485),Wansuia hejianensis (taxid 2763667),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Enterobacter hormaechei (taxid 158836),Klebsiella quasipneumoniae (taxid 1463165),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Hyphomicrobium sp. ghe19 (taxid 2682968),Methylosinus trichosporium OB3b (taxid 595536),Brucella intermedia (taxid 94625)
Eggerthella lenta (taxid 84112),Eggerthella lenta (taxid 84112),Microlunatus elymi (taxid 2596828)
Photobacterium damselae subsp. piscicida (taxid 38294),Enterobacter bugandensis (taxid 881260),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Mediterraneibacter gnavus (taxid 33038),Dorea longicatena (taxid 88431),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Parabacteroides merdae (taxid 46503),Parabacteroides merdae (taxid 46503),Aquipluma nitroreducens (taxid 2010828)
Lachnoanaerobaculum gingivalis (taxid 2490855),Lachnoanaerobaculum gingivalis (taxid 2490855),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Lachnoclostridium phytofermentans ISDg (taxid 357809),Lacrimispora sp. BS-2 (taxid 3151850),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Actinomarinicola tropica (taxid 2789776),Micropruina glycogenica (taxid 75385),Microlunatus elymi (taxid 2596828)
Planococcus donghaensis (taxid 414778),Staphylococcus condimenti (taxid 70255),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Paraflavitalea soli (taxid 2315862),Flavisolibacter tropicus (taxid 1492898),Sphingomonas hengshuiensis (taxid 1609977)
Akkermansia muciniphila (taxid 239935),Akkermansia muciniphila (taxid 239935),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Synechococcus sp. JA-3-3Ab (taxid 321327),Synechococcus sp. JA-3-3Ab (taxid 321327),Crassaminicella indica (taxid 2855394)
Pedobacter aquae (taxid 2605747),Pedobacter mucosus (taxid 2895286),Candidatus Kaistella beijingensis (taxid 2820270)
Enterobacter kobei (taxid 208224),Xenorhabdus poinarii G6 (taxid 1354304),Pseudomonas sp. FP198 (taxid 2954084)
Microvirga lotononidis (taxid 864069),Devosia sp. A16 (taxid 1736675),Brucella intermedia (taxid 94625)
Qiania dongpingensis (taxid 2763669),Qiania dongpingensis (taxid 2763669),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Thermoleophilum album (taxid 29539),Thermoleophilum album (taxid 29539),Microlunatus elymi (taxid 2596828)
Microbacterium sp. M28 (taxid 2962064),Leucobacter sp. CX169 (taxid 2813744),Microlunatus elymi (taxid 2596828)
Serratia symbiotica (taxid 138074),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Rhodoplanes sp. Z2-YC6860 (taxid 674703),Terrirubrum flagellatum (taxid 2895980),Brucella intermedia (taxid 94625)
Caulobacter mirabilis (taxid 69666),Caulobacter mirabilis (taxid 69666),Brucella intermedia (taxid 94625)
Enorma phocaeensis (taxid 1871019),Enorma phocaeensis (taxid 1871019),Sulfuriferula plumbiphila (taxid 171865)
Prevotella dentalis DSM 3688 (taxid 908937),Prevotella herbatica (taxid 2801997),Chryseobacterium group (taxid 2782232)
Clostridium manihotivorum (taxid 2320868),Clostridium manihotivorum (taxid 2320868),Crassaminicella indica (taxid 2855394)
Escherichia coli O55:H7 (taxid 244320),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Rubrobacter xylanophilus (taxid 49319),Endozoicomonas sp. SCSIO W0465 (taxid 2918516),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Corynebacterium sp. ATCC 6931 (taxid 1487956),Corynebacterium incognita (taxid 2754725),Corynebacterium cystitidis (taxid 35757)
Actinobacillus equuli subsp. haemolyticus (taxid 202948),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Alistipes communis (taxid 2585118),Alistipes indistinctus (taxid 626932),Mucilaginibacter mali (taxid 2740462)
Clostridium baratii (taxid 1561),Clostridium baratii (taxid 1561),Enterococcus faecium (taxid 1352)
Pseudobacter ginsenosidimutans (taxid 661488),Fibrella aestuarina BUZ 2 (taxid 1166018),Sphingomonas hengshuiensis (taxid 1609977)
Comamonas thiooxydans (taxid 363952),Comamonas thiooxydans (taxid 363952),Hylemonella gracilis (taxid 80880)
Anaerolinea thermophila UNI-1 (taxid 926569),Brevefilum fermentans (taxid 1986204),Anaerolinea thermophila UNI-1 (taxid 926569)
Thomasclavelia ramosa (taxid 1547),Faecalibacillus intestinalis (taxid 1982626),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Fusobacterium nucleatum (taxid 851),Sneathia vaginalis (taxid 187101),Pseudomonas sp. 13159349 (taxid 2662034)
Xiamenia xianingshaonis (taxid 2682776),Xiamenia xianingshaonis (taxid 2682776),Microlunatus elymi (taxid 2596828)
Ottowia sp. SB7-C50 (taxid 3081231),Cupriavidus malaysiensis (taxid 367825),Alcaligenes nematophilus (taxid 2994643)
Niveibacterium microcysteis (taxid 2811415),Cupriavidus malaysiensis (taxid 367825),Alcaligenes nematophilus (taxid 2994643)
Calothrix sp. 336/3 (taxid 1337936),Calothrix sp. 336/3 (taxid 1337936),Staphylococcus warneri (taxid 1292)
Phoenicibacter congonensis (taxid 1944646),Xiamenia xianingshaonis (taxid 2682776),Microlunatus elymi (taxid 2596828)
Dechloromonas denitrificans (taxid 281362),Azospira inquinata (taxid 2785627),Sulfuriferula plumbiphila (taxid 171865)
Clostridium cellulovorans 743B (taxid 573061),Clostridium cadaveris (taxid 1529),Enterococcus faecium (taxid 1352)
Kineococcus radiotolerans SRS30216 = ATCC BAA-149 (taxid 266940),Kineococcus radiotolerans SRS30216 = ATCC BAA-149 (taxid 266940),Microlunatus elymi (taxid 2596828)
Clostridium beijerinckii (taxid 1520),Clostridium cadaveris (taxid 1529),Enterococcus faecium (taxid 1352)
Streptococcus parasuis (taxid 1501662),Streptococcus iniae (taxid 1346),Streptococcus chenjunshii (taxid 2173853)
Sutterella wadsworthensis (taxid 40545),Sutterella wadsworthensis (taxid 40545),Alcaligenes faecalis (taxid 511)
Gemmatimonas aurantiaca T-27 (taxid 379066),Pseudogemmatithrix spongiicola (taxid 3062599),Sphingomonas hengshuiensis (taxid 1609977)
Ruminococcus albus 7 = DSM 20455 (taxid 697329),Geosporobacter ferrireducens (taxid 1424294),Crassaminicella indica (taxid 2855394)
Enterobacter ludwigii (taxid 299767),Xenorhabdus poinarii G6 (taxid 1354304),Pseudomonas sp. FP198 (taxid 2954084)
Aquabacterium olei (taxid 1296669),Aquabacterium olei (taxid 1296669),Hylemonella gracilis (taxid 80880)
Odoribacter splanchnicus (taxid 28118),Odoribacter splanchnicus (taxid 28118),Sphingomonas hengshuiensis (taxid 1609977)
Salmonella enterica subsp. enterica serovar Newport str. CVM N1543 (taxid 858307),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Citrobacter freundii complex (taxid 1344959),Leclercia sp. W6 (taxid 2282310),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Verrucomicrobium spinosum DSM 4136 = JCM 18804 (taxid 240016),Luteolibacter sp. Populi (taxid 3230487),Aeoliella mucimassa (taxid 2527972)
Xenorhabdus doucetiae (taxid 351671),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Pseudomonas sp. FP2196 (taxid 2954086),Pseudomonas protegens (taxid 380021),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Prevotella denticola (taxid 28129),Prevotella dentalis DSM 3688 (taxid 908937),Chryseobacterium group (taxid 2782232)
Ruminococcus bovis (taxid 2564099),Ruminococcus bovis (taxid 2564099),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Pelolinea submarina (taxid 913107),Brevefilum fermentans (taxid 1986204),Anaerolinea thermophila UNI-1 (taxid 926569)
Methanoregula boonei 6A8 (taxid 456442),Methanoregula boonei 6A8 (taxid 456442),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Eubacterium sp. MSJ-33 (taxid 2841528),Anaerostipes sp. PC18 (taxid 3036926),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Limnoglobus roseus (taxid 2598579),Limnoglobus roseus (taxid 2598579),Brucella intermedia (taxid 94625)
Bifidobacterium longum subsp. infantis (taxid 1682),Citrobacter freundii (taxid 546),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Muribaculum gordoncarteri (taxid 2530390),Sodaliphilus pleomorphus (taxid 2606626),Sphingomonas hengshuiensis (taxid 1609977)
Candidatus Methylopumilus turicensis (taxid 1581680),Candidatus Methylopumilus turicensis (taxid 1581680),Sulfuriferula plumbiphila (taxid 171865)
Wujia chipingensis (taxid 2763670),Wujia chipingensis (taxid 2763670),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Bacteroides thetaiotaomicron (taxid 818),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Caldanaerobacter subterraneus subsp. tengcongensis MB4 (taxid 273068),Alkaliphilus metalliredigens QYMF (taxid 293826),Crassaminicella indica (taxid 2855394)
Sporolactobacillus terrae (taxid 269673),Sporolactobacillus terrae (taxid 269673),Ligilactobacillus salivarius (taxid 1624)
Prevotella scopos JCM 17725 (taxid 1236518),Prevotella herbatica (taxid 2801997),Chryseobacterium group (taxid 2782232)
Prevotella melaninogenica (taxid 28132),Prevotella nigrescens (taxid 28133),Stenotrophomonas sp. SXG-1 (taxid 2682487)
Aedoeadaptatus ivorii (taxid 54006),Peptoniphilus equinus (taxid 3016343),Enterococcus faecium (taxid 1352)
Conexibacter sp. DBS9H8 (taxid 2937801),Conexibacter sp. S30A1 (taxid 2937800),Microlunatus elymi (taxid 2596828)
Erwinia persicina (taxid 55211),Xenorhabdus poinarii G6 (taxid 1354304),Pseudomonas sp. FP198 (taxid 2954084)
Oceanobacillus oncorhynchi (taxid 545501),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Bacillus subtilis (taxid 1423),Radiobacillus deserti (taxid 2594883),Bacillus velezensis NAU-B3 (taxid 1385727)
Nodosilinea sp. E11 (taxid 3037479),Nodosilinea sp. E11 (taxid 3037479),Stenotrophomonas acidaminiphila (taxid 128780)
Mucilaginibacter mali (taxid 2740462),Mucilaginibacter mali (taxid 2740462),Candidatus Kaistella beijingensis (taxid 2820270)
Coraliomargarita algicola (taxid 3092156),Coraliomargarita algicola (taxid 3092156),Sulfuriferula plumbiphila (taxid 171865)
Stenotrophomonas indicatrix (taxid 2045451),Stenotrophomonas sp. ESTM1D_MKCIP4_1 (taxid 2072414),Stenotrophomonas maltophilia group (taxid 995085)
Achromobacter sp. MFA1 R4 (taxid 1881016),Cupriavidus malaysiensis (taxid 367825),Alcaligenes nematophilus (taxid 2994643)
Olsenella uli DSM 7084 (taxid 633147),Olsenella uli DSM 7084 (taxid 633147),Microlunatus elymi (taxid 2596828)
Coprococcus sp. ART55/1 (taxid 751585),Eubacterium sp. MSJ-33 (taxid 2841528),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Anaerocolumna sp. AGMB13020 (taxid 3081750),Radiobacillus deserti (taxid 2594883),Bacillus velezensis NAU-B3 (taxid 1385727)
Limosilactobacillus mucosae (taxid 97478),Megamonas hypermegale (taxid 158847),Bacillus velezensis NAU-B3 (taxid 1385727)
Escherichia coli O157:H7 str. TW14588 (taxid 502346),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
