type,ID,Classification,sequence_length,k-mer_match
C,M01771:9:000000000-L7C7K:1:1105:16737:6016,Roseburia hominis (taxid 301301),301,2:7 131567:5 2:25 186801:6 2:10 186801:1 2:57 186801:1 2:1 1783272:7 186803:3 841:15 186803:1 841:5 186803:1 841:5 186803:1 841:4 186803:6 2:1 301301:9 186801:5 301301:1 2:7 301301:5 841:2 301301:5 841:4 186803:3 841:5 2:3 841:6 186801:2 2:1 186801:7 2:8 186801:8 2:3 0:2 186801:1 0:1 2:3 0:14
C,M01771:9:000000000-L7C7K:1:1105:14767:6016,Segatella hominis (taxid 2518605),301,131567:4 0:1 1783272:2 171552:24 2974251:6 2518605:3 171552:5 2518605:5 171552:5 2518605:1 171552:5 2974251:1 171552:5 2:43 2518605:7 2974251:5 2518605:37 2974251:3 2518605:32 2974251:1 171552:7 2974251:9 171552:11 2:9 171552:8 171549:4 171552:8 171549:1 171552:12 2:3
C,M01771:9:000000000-L7C7K:1:1105:19378:6016,Pelolinea submarina (taxid 913107),301,0:20 2:5 0:65 2:4 0:117 2509675:4 44249:1 479434:2 383372:1 0:1 200795:4 2:5 2710758:4 2:1 0:2 3028117:1 0:6 913107:5 0:1 1783272:1 0:5 2:5 913107:2 200795:3 131567:1 2:1
C,M01771:9:000000000-L7C7K:1:1105:26203:6016,Collinsella sp. zg1085 (taxid 2844380),301,2:3 131567:1 0:18 1871019:5 0:7 1783272:5 1871019:6 84107:1 1871019:12 2:18 102106:5 201174:10 2:3 102106:2 84999:3 102106:6 84107:5 102106:4 0:3 102106:5 0:7 84107:9 1871019:1 0:2 2844380:25 102106:1 0:1 102106:9 0:8 147206:5 2844380:24 84998:23 1783272:1 84998:4 2:7 1783272:1 2:13 131567:4
C,M01771:9:000000000-L7C7K:1:1105:16078:6016,Segatella copri (taxid 165179),301,2:4 0:5 171552:22 2974251:6 165179:12 171549:1 165179:11 2974251:1 2:48 165179:7 2974251:5 165179:34 2974251:5 165179:20 171552:2 2974251:5 165179:3 2974251:4 171552:7 2974251:9 171552:11 0:23 171552:5 0:1 171549:2 171552:11 2:3
C,M01771:9:000000000-L7C7K:1:1105:6429:6016,Escherichia coli (taxid 562),301,2:4 562:6 91347:5 1236:2 2:153 131567:9 2:22 1224:13 2:2 131567:51
C,M01771:9:000000000-L7C7K:1:1105:10699:6017,Anaerostipes hadrus (taxid 649756),301,2:7 131567:5 2:18 186801:2 1239:5 649756:1 186803:5 649756:1 1239:3 649756:5 2:1 3085636:1 649756:4 2:24 186801:5 2:19 1239:14 207244:3 186803:5 649756:4 2:1 649756:22 186801:5 649756:11 186803:5 649756:3 186803:5 649756:9 186801:19 649756:1 2:7 3085636:2 186801:6 2:5 186801:4 2:1 1239:5 2:20 126:4
C,M01771:9:000000000-L7C7K:1:1105:17197:6017,Gemmatirosa kalamazoonensis (taxid 861299),301,2:29 383372:2 0:13 173479:1 0:11 173479:3 2:7 219687:17 2:7 219687:1 2:9 219687:7 861299:5 0:66 219687:1 0:31 2:2 744872:5 2:17 219687:2 2:2 219687:11 1783270:2 2:16
C,M01771:9:000000000-L7C7K:1:1105:13908:6017,Segatella copri (taxid 165179),301,2:5 0:5 171552:22 2974251:6 165179:12 171549:1 165179:11 2974251:1 2:48 165179:7 2974251:5 165179:39 2974251:1 171552:1 165179:5 171552:1 165179:1 2974251:5 165179:5 171552:3 2974251:5 165179:1 2974251:6 171552:7 2974251:9 171552:11 2:9 171552:8 171549:4 171552:8 171549:1 171552:12 2:2
C,M01771:9:000000000-L7C7K:1:1105:22973:6017,Escherichia coli (taxid 562),301,0:55 1725232:1 0:3 2:1 0:10 2:6 0:10 2:5 0:1 2:4 562:5 91347:4 312278:2 562:1 2004797:2 2:5 1192854:7 0:13 28216:4 0:128
C,M01771:9:000000000-L7C7K:1:1105:8707:6017,Bacteroides caccae (taxid 47678),301,0:22 815:5 171549:5 815:1 816:5 47678:8 171549:4 47678:12 2:60 47678:1 2:7 47678:11 816:5 2:8 816:2 2:1 815:5 2:22 815:2 816:8 815:1 2:2 47678:5 2:2 47678:6 976:3 47678:1 816:4 2:2 976:1 2:29 0:12 2:2 0:3
C,M01771:9:000000000-L7C7K:1:1105:25220:6017,Sphingomonas hengshuiensis (taxid 1609977),301,2:1 131567:1 543:3 131567:7 2:25 13687:1 28211:15 13687:3 2:8 1224:6 2:43 28211:2 2:5 0:12 41297:1 0:11 13687:6 2764186:1 0:2 41297:9 2:5 41297:1 2:5 41297:2 1609977:3 2:9 204457:2 0:24 2:14 0:8 2:1 0:7 2:5 0:7 2:12
C,M01771:9:000000000-L7C7K:1:1105:21988:6017,Escherichia coli (taxid 562),301,131567:2 0:4 562:2 91347:5 1236:2 2:153 131567:9 2:53 131567:8 2:18 131567:5 2:6
C,M01771:9:000000000-L7C7K:1:1105:26685:6017,Collinsella aerofaciens (taxid 74426),301,2:1 131567:1 2:3 131567:7 84998:5 2:3 1783272:5 102106:5 84998:1 102106:1 2:5 102106:1 2:5 102106:1 2:7 102106:5 2:18 102106:5 201174:10 2:3 102106:2 84999:3 102106:6 84107:5 102106:14 74426:82 102106:9 2:3 84998:10 0:14 84998:1 0:14 2:7 131567:5
C,M01771:9:000000000-L7C7K:1:1105:8290:6017,Gemmatirosa kalamazoonensis (taxid 861299),301,2:29 383372:2 0:13 173479:1 0:11 173479:3 2:7 219687:17 2:7 219687:1 2:9 219687:7 861299:5 0:66 219687:1 0:31 2:2 744872:5 2:17 219687:2 2:2 219687:11 1783270:2 2:16
C,M01771:9:000000000-L7C7K:1:1105:25624:6017,Bacteroides caccae (taxid 47678),301,0:16 2:8 815:5 171549:5 815:1 816:5 47678:8 171549:4 47678:12 2:60 0:1 2:7 0:11 816:5 2:8 816:2 2:1 815:5 2:22 815:2 816:8 815:1 2:2 47678:5 2:2 47678:6 976:3 47678:1 816:4 2:2 976:1 2:36 131567:5 2:3
C,M01771:9:000000000-L7C7K:1:1105:8010:6017,Segatella copri (taxid 165179),301,0:16 171552:15 2974251:6 165179:12 171549:1 165179:11 2974251:1 2:48 165179:7 2974251:5 165179:21 0:19 165179:1 0:5 165179:1 0:6 165179:6 171552:2 2974251:5 165179:3 2974251:4 171552:7 2974251:9 171552:11 2:9 171552:8 171549:4 171552:8 171549:1 171552:12 2:3
C,M01771:9:000000000-L7C7K:1:1105:5837:6018,Pseudomonas marginalis (taxid 298),301,0:257 1:3 298:2 0:5
C,M01771:9:000000000-L7C7K:1:1105:7506:6018,Ruminococcus bicirculans (ex Wegman et al. 2014) (taxid 1160721),301,2:4 131567:1 543:3 131567:7 2:18 216572:8 1263:6 186802:10 1263:4 2:24 186801:5 2:19 1239:7 1263:2 216572:5 186802:2 1263:6 1160721:10 1263:1 1160721:21 186802:5 1160721:6 216572:5 1263:3 186802:5 1160721:16 1263:2 1160721:6 186801:2 1160721:5 2:3 186801:1 2:16 216572:2 2:25 131567:2
C,M01771:9:000000000-L7C7K:1:1105:10611:6018,Salmonella enterica subsp. enterica serovar Thompson (taxid 600),301,0:1 2:6 562:4 2:5 0:20 2:1 0:6 2:89 1236:35 2:6 1224:5 2:7 1236:22 2:9 1236:1 2:17 600:9 2:5 600:5 2:5 600:2 91347:5 600:1 48408:1
C,M01771:9:000000000-L7C7K:1:1105:6568:6018,Dorea longicatena (taxid 88431),301,2:4 2697027:6 91347:5 2:25 186803:11 1239:5 186803:1 1239:3 2:49 186801:2 2:12 186803:7 88431:24 186803:16 1783272:1 186801:3 186803:5 2:8 88431:6 186803:1 88431:11 186803:1 88431:6 186801:2 186803:5 186801:3 2:1 186801:7 2:8 0:3 2:5 0:12 100177:2 0:5 1386:1 131567:1
C,M01771:9:000000000-L7C7K:1:1105:4253:6018,Segatella copri (taxid 165179),301,0:2 2:5 0:12 171552:15 2974251:6 165179:12 171549:1 165179:11 2974251:1 2:48 165179:7 2974251:5 165179:39 2974251:1 171552:1 165179:5 171552:1 165179:1 2974251:5 165179:5 171552:3 2974251:5 165179:1 2974251:6 171552:7 2974251:9 171552:11 2:9 0:8 171549:4 0:2 171552:5 0:1 171549:1 0:11 171552:1
C,M01771:9:000000000-L7C7K:1:1105:27356:6018,Segatella copri (taxid 165179),301,0:19 171552:15 2974251:6 165179:12 171549:1 165179:11 2974251:1 2:48 165179:7 2974251:5 165179:34 2974251:5 165179:20 171552:2 2974251:5 165179:3 2974251:4 171552:7 2974251:9 171552:11 2:9 171552:8 171549:4 171552:8 171549:1 171552:12
C,M01771:9:000000000-L7C7K:1:1105:24588:6018,Prevotella bivia (taxid 28125),301,562:5 0:13 976:5 0:39 171552:1 0:5 815:2 200643:2 171552:18 2:7 976:3 171552:6 171549:3 0:1 156973:1 0:82 28125:10 171552:4 28125:5 976:2 28125:4 171552:5 2:9 171552:8 171549:4 171552:8 171549:1 171552:12 2:2
C,M01771:9:000000000-L7C7K:1:1105:9058:6018,Subdoligranulum variabile (taxid 214851),301,2697027:4 0:10 1239:8 2:5 1239:1 1783272:3 214851:2 292632:1 216572:5 2:6 0:11 2:3 2815910:1 2:5 0:5 1783272:4 2:33 0:1 1944646:5 216572:2 0:23 2:8 0:51 2:38 1783272:2 216572:2 2:1 216572:12 2:5 131567:5 2:3 131567:2
C,M01771:9:000000000-L7C7K:1:1105:9659:6018,Intestinibacillus sp. NTUH-41-i26 (taxid 3079303),301,2:3 0:2 2697027:4 91347:5 1236:2 2:23 186802:6 186801:1 186802:14 2:6 3079303:3 2:12 186802:2 2:11 186802:2 2:12 3079303:2 186802:5 3079303:9 186802:1 3085642:5 3079303:16 2:4 0:23 2:5 0:3 216572:5 0:12 3079303:16 3085642:5 2:1 1783272:1 2:1 3085642:5 2:5 186801:7 186802:1 2:10 1783272:1 2:1 1783272:5 2:7 131567:3
C,M01771:9:000000000-L7C7K:1:1105:9506:6018,Mediterraneibacter gnavus (taxid 33038),301,2:3 131567:1 543:3 131567:7 2:25 186803:11 1239:5 186803:1 1239:3 2:17 0:15 171549:3 2086585:2 0:4 261299:5 0:2 2:1 186801:2 2:12 186803:7 0:33 33038:1 186803:6 1783272:1 186801:3 186803:5 2:8 0:7 33038:4 0:5 186801:2 0:7 186801:2 3028070:1 186801:7 2:1 186801:7 2:8 186801:2 2:25 131567:3
C,M01771:9:000000000-L7C7K:1:1105:17777:6018,Sutterella wadsworthensis (taxid 40545),301,2:2 0:4 131567:20 2:5 28216:7 40544:20 2:1 40544:10 995019:6 0:15 1224:5 2:2 0:1 2:1 0:5 1224:5 40545:5 28216:7 40545:2 0:1 40544:5 0:11 40545:1 0:14 40544:10 1224:14 131567:11 40545:2 40544:5 40545:4 40544:2 131567:9 1224:5 131567:50
C,M01771:9:000000000-L7C7K:1:1105:14945:6018,Clostridium baratii (taxid 1561),301,2:5 0:4 562:2 91347:5 2:29 2726954:2 0:10 31979:1 1485:3 31979:1 2:5 0:8 3028117:1 2815910:1 1783272:8 2:22 0:10 1485:2 0:5 1485:2 0:12 1485:14 0:7 1485:5 0:7 1485:9 0:7 1485:1 3070681:5 0:4 1485:2 1561:5 1485:2 562:4 2:5 1239:1 1561:4 2:11 1485:1 2:9 1239:1 31979:5 2:19 131567:1
C,M01771:9:000000000-L7C7K:1:1105:12157:6018,Anaerostipes hadrus (taxid 649756),301,2:4 0:17 2:5 0:7 2:5 186801:6 2:10 186801:1 2:52 1239:17 649756:32 186801:4 0:7 649756:5 0:18 649756:4 186801:19 649756:1 2:7 3085636:2 186801:6 2:5 186801:4 2:1 1239:5 2:17 2103230:1 0:5
C,M01771:9:000000000-L7C7K:1:1105:22797:6018,Parolsenella catena (taxid 2003188),301,2:4 0:2 2697027:4 91347:5 1236:2 2:6 216572:17 2892396:20 216572:1 2:5 216572:1 2892396:1 216572:2 2892396:5 2:23 0:8 2:5 2082587:4 0:1 2082587:14 2003188:2 2082587:3 2003188:5 2082587:2 2003188:17 2082587:5 84999:2 2082587:3 1643824:8 2082587:38 84998:23 2082587:1 84998:3 2082587:1 2:2 1783272:5 2082587:1 2:1 1783272:5 2:10
C,M01771:9:000000000-L7C7K:1:1105:17989:6018,Qiania dongpingensis (taxid 2763669),301,131567:2 2:6 131567:5 2:18 1239:2 2:5 2763669:10 186803:5 2:1 2763669:1 2:3 186801:1 2:7 2763669:2 2:39 186801:1 2:5 3059030:1 186801:7 2763669:2 0:44 2:5 186801:2 186803:3 0:6 41297:5 0:29 186801:5 39485:3 2:11 186801:2 2:25 131567:4
C,M01771:9:000000000-L7C7K:1:1105:5341:6018,Segatella copri (taxid 165179),301,0:15 2:13 816:22 976:5 816:6 2:5 816:2 2:43 165179:7 2974251:5 165179:34 2974251:5 165179:20 171552:2 2974251:5 165179:3 2974251:4 171552:7 2974251:9 171552:11 2:9 171552:8 171549:4 171552:8 171549:1 171552:12 2:2
C,M01771:9:000000000-L7C7K:1:1105:15577:6018,Blautia obeum ATCC 29174 (taxid 411459),301,0:1 131567:5 0:4 562:2 91347:5 2:13 1239:12 186801:1 1239:5 2:1 1239:4 2:58 1239:14 186801:8 411459:11 1239:4 411459:18 186801:7 2:3 186801:8 411459:21 186803:3 411459:5 572511:3 411459:1 572511:5 186801:2 2:1 186801:7 2:8 186801:2 2:18 1385:1 0:6
C,M01771:9:000000000-L7C7K:1:1105:8566:6018,Barnesiella viscericola DSM 18177 (taxid 880074),301,131567:3 0:3 976:7 0:5 976:3 0:36 880074:1 397864:4 171549:6 200643:2 171549:10 2:1 171549:9 2:1 171549:4 976:9 171549:10 880074:2 2005519:5 880074:1 0:72 880074:7 976:2 880074:6 397864:3 880074:2 2:3 976:1 2:38 131567:5 2:6
C,M01771:9:000000000-L7C7K:1:1105:17225:6018,Sphingomonas profundi (taxid 2681549),301,2:3 0:4 562:2 91347:5 1236:2 2:14 204457:2 2:7 2681549:7 28211:9 2681549:4 2:7 1224:6 2:43 28211:4 2681549:10 0:17 1176646:5 41297:1 13687:8 0:3 1085:1 0:11 76892:5 13687:1 28211:3 13687:8 204457:6 41297:4 28211:2 2:9 28211:1 2:53
C,M01771:9:000000000-L7C7K:1:1105:20858:6019,Escherichia coli (taxid 562),301,131567:3 0:4 562:2 91347:5 1236:2 2:248 131567:3
C,M01771:9:000000000-L7C7K:1:1105:18575:6019,Roseburia sp. 831b (taxid 1261635),301,131567:14 2:99 186801:1 2:1 1783272:7 186803:3 1261635:5 186803:33 2:21 186803:34 186801:3 2:1 186801:7 2:8 186801:14 2:6 131567:5 2:5
C,M01771:9:000000000-L7C7K:1:1105:13226:6019,Bacillus sp. ZHX3 (taxid 2841656),301,131567:3 0:4 562:2 91347:5 1236:2 2:234 0:2 2841656:10 2:2 2841656:1 131567:2
C,M01771:9:000000000-L7C7K:1:1105:7463:6019,Escherichia coli (taxid 562),301,131567:4 0:4 562:2 91347:5 1236:2 2:248 131567:2
C,M01771:9:000000000-L7C7K:1:1105:25139:6019,Paracoccus stylophorae (taxid 659350),301,2:8 131567:5 2:25 28211:20 2:7 28211:1 2:7 28211:7 2:3 28211:7 2:3 28211:11 2:5 28211:16 659350:5 204455:2 265:20 28211:4 265:2 28211:5 2:14 28211:8 204455:6 28211:1 204455:15 28211:10 2:26 0:6 2:4 0:11 2:3
C,M01771:9:000000000-L7C7K:1:1105:9538:6019,Anaerostipes hadrus (taxid 649756),301,0:1 131567:5 0:3 2:7 322095:5 200643:3 322095:5 2:1 0:3 2:1 186801:2 1239:5 649756:1 186803:5 649756:1 1239:3 649756:5 2:1 3085636:1 649756:4 2:24 186801:5 2:19 1239:17 649756:32 186801:5 649756:11 186803:5 649756:3 186803:5 649756:9 186801:19 649756:1 2:7 3085636:2 186801:6 2:5 186801:4 2:1 1239:5 2:19 131567:1
C,M01771:9:000000000-L7C7K:1:1105:9758:6019,Rubrobacter xylanophilus (taxid 49319),301,0:79 3135646:5 0:5 2:16 1783272:2 0:114 1783272:3 0:4 49319:5 1783272:2 0:2 1670830:1 2:4 0:2 2:1 1783270:7 2:5 131567:5 2:5
C,M01771:9:000000000-L7C7K:1:1105:12765:6019,Pectobacterium parmentieri WPP163 (taxid 561231),301,131567:17 2:101 561231:7 2:2 0:6 2:3 0:5 2:1 0:3 570:2 91347:2 2:23 131567:9 2:53 131567:8 2:18 131567:5 2:2
C,M01771:9:000000000-L7C7K:1:1105:14965:6019,Bacteroides uniformis (taxid 820),301,0:32 816:31 171549:2 200643:4 2:34 171549:3 976:2 171549:7 816:44 2:22 816:3 820:5 816:3 820:11 171549:5 816:2 820:5 816:2 2:1 976:1 2:5 0:33 171552:5 2:5
C,M01771:9:000000000-L7C7K:1:1105:15558:6020,Cupriavidus sp. EM10 (taxid 2839983),301,2:2 0:2 2697027:4 91347:5 131567:13 106589:5 28216:7 106589:7 28216:9 106589:1 28216:1 106589:2 28216:1 2:9 28216:7 1224:6 2:4 131567:5 2:34 1224:5 106589:12 2839983:5 106589:4 80840:3 2839983:14 2:5 1224:2 2839983:2 106589:2 28216:5 106589:7 28216:13 131567:9 2:2 131567:13 2:9 131567:1 2:7 131567:5 2:7 131567:11
C,M01771:9:000000000-L7C7K:1:1105:7797:6020,Sodalis ligni (taxid 2697027),301,0:1 2:5 0:2 2697027:4 91347:5 1236:2 2:109 1224:5 91347:4 1236:4 91347:8 1236:8 91347:2 2:1 1224:12 2:4 131567:5 1224:1 2:6 1236:6 91347:2 2:11 1236:4 2:5 1236:2 2:16 131567:8 2:18 131567:5 2:2
C,M01771:9:000000000-L7C7K:1:1105:11194:6020,Lachnospira eligens (taxid 39485),301,2:5 2697027:6 91347:5 2:18 1239:2 2:5 39485:1 2:5 39485:9 2:1 39485:1 2:10 39485:1 2:27 67827:2 2:9 2756:5 0:4 39485:1 0:9 39485:38 186803:19 39485:38 186801:4 39485:3 2:6 186801:19 2:1 186801:5 2:2 1239:5 2:1
C,M01771:9:000000000-L7C7K:1:1105:15807:6020,Cupriavidus metallidurans (taxid 119219),301,131567:4 0:4 131567:20 2:1 1224:5 2:6 28216:21 1224:5 2:4 28216:7 1224:6 2:4 131567:5 2:24 1224:7 2:2 28216:1 2:5 28216:3 1224:1 28216:3 119060:17 80840:3 119060:5 80840:4 1224:3 131567:9 80840:2 28216:2 119060:2 28216:7 119060:7 1224:6 119060:2 28216:2 0:6 2:1 0:14 131567:8 119219:5 131567:24
C,M01771:9:000000000-L7C7K:1:1105:17961:6020,Pseudomonas otitidis (taxid 319939),301,2:5 562:5 91347:5 1236:2 2:108 1236:5 135621:2 286:15 319939:18 1224:5 2:1 1224:5 2:5 135621:1 2:3 286:9 135621:13 286:2 135621:5 1236:5 131567:2 2:1 131567:3 2:7 131567:6 2:20 131567:5 2:4
C,M01771:9:000000000-L7C7K:1:1105:27300:6020,Simiaoa sunii (taxid 2763672),301,2:1 2697027:1 0:3 131567:7 2:13 1239:12 2:1 1239:10 2:5 1239:1 2:59 1239:2 2:5 186801:8 2763672:22 186803:1 2763672:4 186803:12 2763672:1 186803:3 186801:5 186803:1 186801:7 186803:5 2763672:1 186803:5 2763672:5 186803:3 2763672:5 186803:3 2763672:1 186803:6 186801:1 2:1 186801:7 2:8 186801:2 2:25 131567:5
C,M01771:9:000000000-L7C7K:1:1105:25656:6020,Phocaeicola vulgatus (taxid 821),301,131567:4 821:3 2:250 131567:5 2:5
C,M01771:9:000000000-L7C7K:1:1105:5026:6020,Limnospira indica BM01 (taxid 2760438),301,0:25 544448:1 0:48 2:5 0:5 2:15 1783272:4 2760438:4 3028117:5 2760438:1 0:10 3028117:5 0:87 2:3 29447:8 2:16 0:6 3028117:1 336810:1 0:5 2:5 0:2 2:5
C,M01771:9:000000000-L7C7K:1:1105:13381:6020,Homo sapiens (taxid 9606),301,0:11 9606:148 0:22 9606:2 0:1 9606:1 0:3 9606:52 0:27
C,M01771:9:000000000-L7C7K:1:1105:8823:6020,Segatella copri (taxid 165179),301,0:16 171552:15 2974251:6 165179:12 171549:1 165179:11 2974251:1 2:48 165179:7 2974251:5 165179:39 2974251:1 171552:1 165179:5 171552:1 165179:1 2974251:5 165179:5 171552:3 2974251:5 165179:1 2974251:6 171552:7 2974251:9 171552:11 2:9 171552:8 171549:4 171552:8 171549:1 171552:12 2:3
C,M01771:9:000000000-L7C7K:1:1105:13477:6020,Escherichia coli (taxid 562),301,2:4 0:4 562:2 91347:5 1236:2 2:30 1236:10 2:1 1236:3 2:5 1236:9 2:95 131567:9 2:53 131567:8 2:18 131567:5 2:4
C,M01771:9:000000000-L7C7K:1:1105:21871:6021,Agathobacter rectalis (taxid 39491),301,131567:15 2:94 1239:5 186801:2 1783272:5 186801:5 39491:5 186803:19 0:13 186803:1 2:1 980445:5 0:10 2:5 186803:34 186801:3 2:1 186801:7 2:8 186801:14 2:6 562:2 2:5 0:2
C,M01771:9:000000000-L7C7K:1:1105:6857:6021,Peptostreptococcus equinus (taxid 3003601),301,2:5 2697027:1 0:3 131567:7 2:18 186801:2 1239:5 186801:7 1239:3 186801:5 2:1 186801:1 2:52 1239:2 2:5 1783272:2 1239:5 186801:64 0:5 186801:1 0:10 186801:2 0:10 3003601:5 0:1 1783272:2 186801:2 2:5 0:23 2:12 131567:1
C,M01771:9:000000000-L7C7K:1:1105:25507:6021,Agathobacter rectalis (taxid 39491),301,2:4 1351:2 2:4 131567:5 2:94 1239:5 186801:2 1783272:5 186801:5 39491:5 186803:33 2:21 186803:34 186801:3 2:1 186801:7 2:8 186801:13 0:12 2:2 0:2
C,M01771:9:000000000-L7C7K:1:1105:22866:6021,Lactiplantibacillus plantarum (taxid 1590),301,0:3 131567:3 0:3 1239:15 2:5 1239:5 33958:1 91061:5 1783272:2 2:5 1783272:11 2:3 1783272:1 2:5 1783272:5 2:37 1783272:15 2:1 1783272:1 2:1 91061:2 33958:13 2:1 33958:34 1590:2 0:17 2:37 131567:8 2:18 131567:5 2:3
C,M01771:9:000000000-L7C7K:1:1105:15114:6021,Roseiflexus castenholzii DSM 13941 (taxid 383372),301,131567:2 0:5 2:1 0:7 2:14 383372:2 0:18 1621989:5 0:21 1783272:5 0:8 2:2 0:1 2:16 0:62 2:3 0:41 1783272:1 2:5 0:6 2:4 0:38
C,M01771:9:000000000-L7C7K:1:1105:5358:6021,Limnospira indica BM01 (taxid 2760438),301,2:1 0:1 307595:1 0:22 544448:1 0:48 2:5 0:5 2:15 1783272:4 2760438:4 3028117:5 2760438:1 0:10 3028117:5 0:87 2:3 29447:8 2:16 0:6 3028117:1 336810:1 0:5 2:5 0:2 2:5
C,M01771:9:000000000-L7C7K:1:1105:20148:6021,Segatella copri (taxid 165179),301,0:2 2:5 0:10 762982:5 171549:3 762982:5 171552:5 0:27 838:3 2937774:5 838:2 200643:2 2:39 165179:7 2974251:5 165179:34 2974251:5 165179:20 171552:2 2974251:5 165179:3 2974251:4 171552:7 2974251:9 171552:11 2:9 171552:8 171549:4 171552:8 171549:1 171552:12
C,M01771:9:000000000-L7C7K:1:1105:19469:6021,Escherichia coli (taxid 562),301,2:1 0:4 562:2 91347:5 1236:2 2:153 131567:9 2:51 0:8 131567:1 0:7 2:5 0:7 131567:5 2:7
C,M01771:9:000000000-L7C7K:1:1105:21457:6021,Escherichia coli (taxid 562),301,2:7 131567:5 2:155 131567:9 2:53 131567:8 2:18 562:2 0:10
C,M01771:9:000000000-L7C7K:1:1105:19822:6021,Stenotrophomonas maltophilia (taxid 40324),301,0:18 40324:7 40323:5 40324:3 40323:9 32033:7 40323:7 32033:5 40324:1 2:5 40324:48 40323:7 40324:5 40323:1 40324:8 32033:7 40324:1 32033:5 40324:50 40323:11 40324:1 40323:5 40324:5 40323:3 40324:7 2:4 40324:19 40323:1 2:4 40324:2 40323:5 40324:1
C,M01771:9:000000000-L7C7K:1:1105:14240:6021,Sodalis ligni (taxid 2697027),301,0:6 2697027:4 91347:5 1236:2 2:153 131567:9 2:53 131567:8 2:18 0:9
